TMAP INVOICE ATTACHED SHEET Page 1 of 2

INVOICE NO. : VPF3270 BUYER-PD CODE: 97153-61 CURRENCY CODE: USD

CASE NO. ORDER NO. ITEM PART NO. PART NAME QTY. FOB PRICE AMOUNT TRF HS CODE LOCATION COUNTRY OF
NO. CODE ORIGIN

BB14ZB0E ACT10605 0005 PC634-0A012 REAR CAMERA ASSY WITH BRACKET 1 78.30 78.30 R7 THAILAND

BB14ZB0E ACT10609 0002 PC241-0A002 LUGGAGE TRAY W/SPARE TIRE 20 28.00 560.00 R7 THAILAND

BB14ZB0E EBS10615 0011 51797-0K110 BRACKET, SIDE STEP, NO.3 RH 1 10.46 10.46 EG1 INDONESIA

BB14ZB0E EBS10621 0007 81590-0K210 LAMP ASSY, RR, LH 1 96.50 96.50 BI INDONESIA

BB14ZB0E EBS10623 0001 90468-18008 CLIP 20 0.25 5.00 EG1 THAILAND

BB14ZB0E EBS10623 0002 47743-0K300 CLIP, PIN HOLD 5 0.90 4.50 N8 THAILAND

BB14ZB0E EBS10623 0004 52753-YP020 MOULDING, RR BUMPER SIDE, LH 1 23.30 23.30 EG1 INDIA

BB14ZB0E EBS10623 0005 53293-KK270 DEFLECTOR, RADIATOR SIDE, RH 2 22.00 44.00 EG1 THAILAND

BB14ZB0E EMPK1429 0001 58152-06190 INSULATOR, FR FLOOR HEAT, NO.1 LWR 1 38.92 38.92 EG1 THAILAND

BB14ZB0E EMPK1433 0002 67872-0D120 WEATHERSTRIP, RR DOOR, LH 1 22.44 22.44 EG1 THAILAND

BB14ZB0E VMPK3986 0001 52128-0K860 COVER, FR BUMPER HOLE, LH 1 10.85 10.85 EG1 THAILAND

BB14ZB0E VMPK3986 0002 53735-KK020 SEAL, FR FENDER APRON, UPR 2 9.08 18.16 EG1 THAILAND

BB14ZB0E VMPK3987 0002 51209-0K010 CROSSMEMBER SUB-ASSY, FRAME, RR 1 97.67 97.67 EG1 THAILAND

BB14ZB0E VMPK3987 0003 57611-0K010 MEMBER, RR FLOOR SIDE, FR RH 2 17.69 35.38 EG1 THAILAND

BB14ZB0E VMPK3987 0004 57613-0K091 MEMBER, RR FLOOR SIDE, CTR RH 1 37.99 37.99 EG1 THAILAND

BB14ZB0E VMPK3987 0006 61631-0K031 PANEL,QUARTER WHEEL HOUSE,OUTER RH 1 33.38 33.38 EGA THAILAND

BB14ZB0E VMPK3987 0007 74271-0D180 PANEL, RR DOOR ARMREST BASE, UPR RH 1 12.00 12.00 EG1 THAILAND

BB14ZB0E VMPK3987 0008 88718-0K350 CLAMP, PIPING 1 3.82 3.82 A0 THAILAND

BB14ZB0E VMPK3987 0009 90913-T2006 SEAL, VALVE STEM OIL 16 2.30 36.80 Z7 THAILAND

BB14ZB0E VMPK3988 0002 67917-KK040-C0 PLATE, RR DOOR SCUFF, INSIDE RH 1 24.46 24.46 EG1 INDONESIA

CASE Total 80 1,193.93

BB14ZDYJ VMPK3990 0001 56101-0KJ80 GLASS SUB-ASSY, WINDSHIELD 1 222.06 222.06 L7 THAILAND

CASE Total 1 222.06

BB14ZJKL ACT10531 0002 PC634-0A010 FRONT CAMERA ASSY SET 1 87.50 87.50 R7 THAILAND

PAGE TOTAL: 82 1,503.49
